Name	Set	ImageFile	Rarity	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
# Borg Queen	FC	borgqueen	R	R	PERSONNEL	BORG		6	12	6				[Com][Nav][Def][BORG][DQ]				Queen's Borg Cube, Queen's Borg Sphere, Borg Queen's Ship		* When reported, selects any skill; may change that skill at start of each turn. * May download A Change of Plans or a Borg drone in place of one card draw.
# Borg Queen *BORG	Borg	borgqueenborg	R	50 R	PERSONNEL	BORG		6	12	6				[Com][Nav][Def][BORG][DQ]				Queen's Borg Cube, Queen's Borg Sphere, Borg Queen's Ship		* When  reported, selects any skill; may change skill at start of each turn. * May  download any [Borg-Only] Event or Interrupt card in place of your normal card play.
# Fontaine	MM	fontaine	R+	103 R+	PERSONNEL	NON-ALIGNED	CIVILIAN	3	6	5				(STF)[MM][MQ]			(Vic Fontaine)		War Council	CIVILIAN * Navigation  * Astrophysics  * MEDICAL  * Music \DL/ Two  disruptors (each must add STRENGTH +2).
# Unicomplex	Borg	unicomplex	R	24 R	FACILITY	BORG	OUTPOST			74				[Borg][DQ]						Seeds or plays at any [S] mission with no affiliation icons. Once each turn, Borg Queen OR one unique drone OR one unique ship may report for free here.
% Albert Einstein	Premiere	alberteinstein	R	R	PERSONNEL	FEDERATION	SCIENCE	9	11	2				[Holo]						SCIENCE * Physics  x2 * Astrophysics
% Alliance Galor	MM	alliancegalor	C	116 C	SHIP	CARDASSIAN	GALOR	8	8	8				[KCA][MM][MQ]	(CMD)[KCA]					Tractor Beam
% Alliance Interceptor	MM	allianceinterceptor	C	114 C	SHIP	BAJORAN	INTERCEPTOR	5+X	8	6				[KCA][MM][MQ]	[KCA]					May take off or land once each turn. X=4 if moving within a region.
% Alliance K'Vort	MM	alliancekvort	C	124 C	SHIP	KLINGON	K'VORT	8	7	7				[KCA][MM][MQ]	[KCA]					Tractor Beam
% Alliance Nor	MM	alliancenor	C	26 C	FACILITY	CARDASSIAN	STATION		6	30				[KCA][MM][MQ]						Seeds or plays at any mission in Mirror Quadrant (except in the Badlands Region). [DS9] Ops may not seed or play on this Nor.
% Alliance Vor'Cha	MM	alliancevorcha	C	125 C	SHIP	KLINGON	VOR'CHA	9	9	8				[KCA][MM][MQ]	(CMD)(STF)[KCA]					Tractor Beam
% Alpha Attack Ship	BOG	alphaattackship	C	C	SHIP	DOMINION	ATTACK SHIP	6	8	9				[BOG]						May avoid being targeted by Establish Tractor Lock. Invasive Transporters
% Amaros	DS9	amaros	C	C	PERSONNEL	NON-ALIGNED	ENGINEER	6	6	7				(STF)[Maq][DS9]						ENGINEER * Navigation  * Physics
% Amet'alox	TWT	ametalox	C	49 C	PERSONNEL	DOMINION	SECURITY	7	7	9				(STF)[KW][TWT][GQ]						SECURITY * Transporter  Skill * Stellar  Cartography
% ANALYZE RADIATION	TMP	analyzeradiation	C	28 C	MISSION	Space,[FEDERATION]					25	Briar Patch Region * Sector 441	5	[TMP](AQ)						Astrophysics + Biology + Navigation Span -2 for all Son'a ships.
% Anara	DS9	anara	C	C	PERSONNEL	BAJORAN	ENGINEER	6	7	4				(STF)[DS9]						ENGINEER * Physics  * Transporter  Skill
% Angelo Tassoni	Borg	angelotassonifed	C	68 C	PERSONNEL	FEDERATION/NON-ALIGNED	SECURITY	5	6	7				(STF)[Borg][DQ]						SECURITY * Navigation
% Angelo Tassoni*	Borg	angelotassonina	C	68 C	PERSONNEL	FEDERATION/NON-ALIGNED	SECURITY	5	6	7				(STF)[Borg][DQ]						SECURITY * Navigation
% Aramax	MM	aramax	C	58 C	PERSONNEL	CARDASSIAN	MEDICAL	4	8	6				(STF)[KCA][MM][MQ]						MEDICAL * SCIENCE  * Greed
% Ari	DS9	ari	C	C	PERSONNEL	CARDASSIAN	OFFICER	8	6	6				(STF)[DS9]						OFFICER * Honor  * Transporter  Skill * Computer  Skill
