Name	Set	ImageFile	Rarity	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
Spock	Virtual Promos	1e/cardimages/vpromos/1VP_Spock.jpg	VP	1 VP		Federation		9	10	7				[Cmd]		Vulcan/Human	Spock			V.I.P. Diplomacy Computer Skill Leadership SCIENCE Mindmeld  
Tribunal Of Q	Virtual Promos	1e/cardimages/vpromos/2VP_Tribunal-of-Q.jpg	VP	2 VP																 Seeds on table. You may download [Ref] cards from your discard pile. While you are downloading or playing a [Ref] card, you may ignore any effect and no action may suspend play. In place of a card draw you may download a [Ref] card (once per game per card title) OR {Q the Referee} (limit once every turn). At the start of the first turn, if it is not your turn, you may download a [Ref] card. 
Bajoran Wormhole: Mirror Universe	Virtual Promos	1e/cardimages/vpromos/3VP_Bajoran Wormhole Mirror Universe.jpg	VP	3 VP																" Seeds (in any phase) or plays in Mirror Quadrant. Limit one. Inserts into spaceline to create a Bajor Region location (span 1); any player may download [eDS9] {Bajoran Wormhole}. Any ship may move between here and a [eDS9] Bajoran Wormhole if damaged or if ENGINEER and SCIENCE aboard, then is ""stopped."" OR Plays at any time to nullify any card which is closing or destroying Bajoran Wormhole (discard doorway). "
Bajoran Wormhole	Virtual Promos	1e/cardimages/vpromos/4VP_Bajoran Wormhole.jpg	VP	4 VP																" Requires two Bajoran Wormhole cards; each inserts into a spaceline to create a location (span 1). Play one in Alpha Quadrant (Bajor Region); download the other to Gamma Quadrant. Limit one per quadrant. While in play, any ship may move from one end to the other, then is ""stopped."" OR Plays at any time to nullify any card which is closing or destroying Bajoran Wormhole (discard doorway). "
Slar	Virtual Promos	1e/cardimages/vpromos/5VP_Slar.jpg	VP	5 VP		Non-aligned		2	5+X	5+X				[AU][Cmd][MU][22]		Gorn				ENGINEER ENGINEER SECURITY Computer Skill Physics Treachery X = number of [MU] personnel present  
Handshake	Virtual Promos	1e/cardimages/vpromos/6VP_Handshake.jpg	VP	6 VP																" Plays once each turn (for free) if you have played no cards this turn and have fewer in hand than opponent; they must choose to discard three cards or allow you to draw three. OR Plays to look at top five cards in any draw deck or discard pile for ten seconds; rearrange as desired. OR Plays if you have at least three other cards in hand; discard entire hand and draw seven cards. Discard incident after any use. "
Jean-Luc Picard	Virtual Promos	1e/cardimages/vpromos/7VP_Jean-Luc Picard.jpg	VP	7 VP		Federation		8	8	7				[Nav][Def][Com][Cmd]		Borg	Jean-Luc Picard	U.S.S. Enterprise		OFFICER Leadership Archaeology Navigation While on your ship, WEAPONS and SHIELDS +4 against [Bor].  
Porthos	Virtual Promos	1e/cardimages/vpromos/8VP_Porthos.jpg	VP	8 VP		Neutral		4	3	3				[AU][22]		Beagle				"ANIMAL [Sta] Humans present are INTEGRITY +1. Once every turn, may ""chase"" (stop) one ANIMAL present.  "
Antaak	Virtual Promos	1e/cardimages/vpromos/9VP Antaak.jpg	VP	9 VP		Klingon		8	7	6				[22][AU][Stf]		Klingon				MEDICAL MEDICAL SCIENCE Honor Exobiology {Any Targ} {maH nIv}  
Rotation Damage Marker	Virtual Promos	1e/cardimages/vpromos/10VP.jpg	VP	10 VP																  Requires two full turns to repair. Cloaking Device is off line. \n* If printed RANGE>5, it is reduced to 5.
