Name	Set	ImageFile	Rarity	Release	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
A Bad End 2E	second	ST2E-EN03001	C	Call_to_Arms	03-001 C	DILEMMA	Planet														Randomly select one of your stopped personnel on this planet to be killed.
Close Call 2E	second	ST2E-EN03003	C	Call_to_Arms	03-003 C	DILEMMA	Planet														Unless you have 2 Diplomacy and Security or 2 Computer Skill and Transporter Skill, randomly select an Engineer personnel to be killed.
Failure To Communicate 2E	second	ST2E-EN03010	S	Call_to_Arms	03-010 S	DILEMMA	Planet														Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Security, your opponent chooses an Anthropology or Security personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
History Repeats Itself 2E	second	ST2E-EN03014	C	Call_to_Arms	03-014 C	DILEMMA	Planet														Randomly select three personnel. If any of those personnel has Anthropology, all three are stopped.
Rock People 2E	second	ST2E-EN03024	C	Call_to_Arms	03-024 C	DILEMMA	Planet														Unless you have 2 Anthropology and Integrity>30 or Exobiology, Medical, and Cunning>35, randomly select a personnel to be killed, then all your other personnel are stopped.
The Demands of Duty 2E	second	ST2E-EN03031	R	Call_to_Arms	03-031 R	DILEMMA	Planet														Your opponent chooses a personnel. Unless you choose to have all your personnel be stopped, that personnel is killed.
Confined to Quarters 2E	second	ST2E-EN03004	C	Call_to_Arms	03-004 C	DILEMMA	Space														Randomly select three personnel. If any of those personnel has Leadership, all three are stopped.
Don't Let It End This Way 2E	second	ST2E-EN03008	C	Call_to_Arms	03-008 C	DILEMMA	Space														Randomly select one of your stopped personnel on this ship to be killed.
Graviton Wave 2E	second	ST2E-EN03013	C	Call_to_Arms	03-013 C	DILEMMA	Space														Unless you have Astrophysics OR Stellar Cartography, Physics, and Cunning>32 or Biology and 2 Medical, randomly select a Science personnel to be killed.
Quantum Filament 2E	second	ST2E-EN03022	R	Call_to_Arms	03-022 R	DILEMMA	Space														Unless you have 2 Astrophysics OR Stellar Cartography and 2 Navigation or 2 Engineer, Science, and Shields>8, this dilemma is placed on your ship. Damage - When your personnel aboard this ship are about to face a dilemma, randomly select one of them to be stopped.
DNA Analysis 2E	second	ST2E-EN03007	S	Call_to_Arms	03-007 S	DILEMMA	Space/Planet														Unless you have a personnel who has 2 Medical or a personnel who has 2 Science, your opponent chooses a Medical or Science personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Inside Collaborators 2E	second	ST2E-EN03015	S	Call_to_Arms	03-015 S	DILEMMA	Space/Planet														Unless you have a personnel who has 2 Diplomacy or a personnel who has 2 Treachery, your opponent chooses a Diplomacy or Treachery personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Justice or Vengeance 2E	second	ST2E-EN03016	S	Call_to_Arms	03-016 S	DILEMMA	Space/Planet														Unless you have Anthropology and 2 Security or Exobiology, Honor, and Integrity>32, randomly select a Treachery personnel to be killed.
