Name	Set	ImageFile	Rarity	Release	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
Where No Man Has Gone Before	main	1V_WhereNoManHasGoneBefore	V	CoC	1 V	EVENT									[CoC]						Plays on table. At start of turn, your undocked ships at any spaceline end are RANGE +3 until end of turn. Once per turn, when your ship moves from one spaceline to another, you may draw a card OR report an card aboard.
Benjamin Sisko *CoC	main	2V_BenjaminSisko	V	CoC	2 V	PERSONNEL	Federation	OFFICER	8	7	8				[CoC]	(Cmd)	Human	Benjamin Sisko	Defiant, Type 18 Shuttlepod, U.S.S. Defiant, U.S.S. Rio Grande, U.S.S. Sao Paulo		OFFICER * Leadership * ENGINEER * Honor \DL/ Any Jake \DL/ Emergency Evacuation
Captain Kirk *CoC	main	3V_CaptainKirk	V	CoC	3 V	PERSONNEL	Federation	OFFICER	8	8	8				[AU][CoC]/OS\	(Cmd)	Human	Captain Kirk	Starship Enterprise, Starship Enterprise *TMP, Starship Enterprise *CoC		OFFICER * Leadership x2 \DL/ Any Captain's Order card * If with any Spock and any McCoy, all three are attributes all +1.
Jean-Luc Picard *CoC	main	4V_Jean-LucPicard	V	CoC	4 V	PERSONNEL	Federation	OFFICER	8	8	7				[Com][Nav][Def][CoC]	(Cmd)	Human	Jean-Luc Picard	U.S.S. Enterprise, U.S.S. Stargazer, U.S.S Enterprice *CoC		OFFICER * Leadership x2 * Archaeology * Navigation * While on your ship, WEAPONS and SHIELDS +4 against [Borg].
Kathryn Janeway *CoC	main_voy	5V_KathrynJaneway	V	CoC	5 V	PERSONNEL	Federation	OFFICER	8	7	6				[CoC]	(Cmd)	Human	Kathryn Janeway	U.S.S. Voyager, U.S.S. Voyager *CoC		OFFICER * SCIENCE * Astrophysics * Computer Skill * Tuvok may report here. \DL/ Rescue Captives
K'mpec *CoC	main	7V_Kmpec	V	CoC	7 V	PERSONNEL	Klingon	V.I.P.	5	8	5				[CoC]	(Cmd)	Klingon	K'mpec	I.K.C. Qam-chee *CoC	The Great Hall	V.I.P. * Leadership * Law * Diplomacy \DL/ Kle'eg \DL/ HQ: Secure Homeworld
Shinzon *CoC	main	8V_Shinzon	V	CoC	8 V	PERSONNEL	Romulan	V.I.P.	1	7	6				[Nem,L,Green]<Fed>[CoC]	(Cmd)	Human	Shinzon	Scimitar *CoC	Office of the Proconsul	V.I.P. * Leadership * Treachery x2 * Diplomacy * ENGINEER * Any Jean-Luc Picard gains [Nem,R,Green]
William T. Riker *CoC	main	6V_WilliamRiker	V	CoC	6 V	PERSONNEL	Federation	OFFICER	8	8	7				/Ent-E\[CoC]		Human	William T. Riker	U.S.S. Enterprise-E, U.S.S. Enterprise-E *CoC		OFFICER * Leadership * Navigation x2 * Honor \DL/ Federation Flagship: Renewed \DL/ Riker Maneuver
I.K.C. Qam-chee *CoC	main	14V_IKCQamChee	V	CoC	14 V	SHIP	Klingon	Vor'cha	8	9	9				[CoC]	(Cmd)(Cmd)(Stf)					Cloaking Device, Tractor Beam. Opposing cards here are attributes -1.
Scimitar *CoC	main	15V_Scimitar	V	CoC	15 V	SHIP	Romulan	Scimitar	9	13	12				[CoC]	(Cmd)(Cmd)(Cmd)					Cloaking Device, Tractor Beam \DL/ Any Tactic \DL/ Engage Cloak
