Name	Set	ImageFile	Rarity	Release	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
Where No Man Has Gone Before	main	1V_WhereNoManHasGoneBefore	V	CoC	1 V	EVENT									[CoC]						Plays on table. At start of turn, your undocked ships at any spaceline end are RANGE +3 until end of turn. Once per turn, when your ship moves from one spaceline to another, you may draw a card OR report an  card aboard.
Benjamin Sisko *CoC	main	2V_BenjaminSisko	V	CoC	2 V	PERSONNEL	Federation	OFFICER	8	7	8				(Cmd)[CoC]		Human	Benjamin Sisko	Defiant, Type 18 Shuttlepod, U.S.S. Defiant, U.S.S. Rio Grande, U.S.S. Sao Paulo		OFFICER * Leadership * ENGINEER * Honor \DL/ Any Jake \DL/ Emergency Evacuation
Captain Kirk *CoC	main	3V_CaptainKirk	V	CoC	3 V	PERSONNEL	Federation	OFFICER	8	8	8				(Cmd)[AU][CoC]/OS\		Human	Captain Kirk	Starship Enterprise, Starship Enterprise *TMP, Starship Enterprise *CoC		OFFICER * Leadership x2 \DL/ Any Captain's Order card * If with any Spock and any McCoy, all three are attributes all +1.
Jean-Luc Picard *CoC	main	4V_Jean-LucPicard	V	CoC	4 V	PERSONNEL	Federation	OFFICER	8	8	7				(Cmd)[Com][Nav][Def][CoC]		Human	Jean-Luc Picard	U.S.S. Enterprise, U.S.S. Stargazer, U.S.S Enterprice *CoC		OFFICER * Leadership x2 * Archaeology * Navigation * While on your ship, WEAPONS and SHIELDS +4 against [Borg].
Kathryn Janeway *CoC	main_voy	5V_KathrynJaneway	V	CoC	5 V	PERSONNEL	Federation	OFFICER	8	7	6				(Cmd)[CoC]		Human	Kathryn Janeway	U.S.S. Voyager, U.S.S. Voyager *CoC		OFFICER * SCIENCE * Astrophysics * Computer Skill * Tuvok may report here. \DL/ Rescue Captives
K'mpec *CoC	main	7V_Kmpec	V	CoC	7 V	PERSONNEL	Klingon	V.I.P.	5	8	5				(Cmd)[CoC]		Klingon	K'mpec	I.K.C. Qam-chee *CoC	The Great Hall	V.I.P. * Leadership * Law * Diplomacy \DL/ Kle'eg \DL/ HQ: Secure Homeworld
Shinzon *CoC	main	8V_Shinzon	V	CoC	8 V	PERSONNEL	Romulan	V.I.P.	1	7	6				(Cmd)[Nem,L,Green]<Fed>[CoC]		Human	Shinzon	Scimitar *CoC	Office of the Proconsul	V.I.P. * Leadership * Treachery x2 * Diplomacy * ENGINEER * Any Jean-Luc Picard gains [Nem,R,Green]
William T. Riker *CoC	main	6V_WilliamRiker	V	CoC	6 V	PERSONNEL	Federation	OFFICER	8	8	7				/Ent-E\[CoC]		Human	William T. Riker	U.S.S. Enterprise-E, U.S.S. Enterprise-E *CoC		OFFICER * Leadership * Navigation x2 * Honor \DL/ Federation Flagship: Renewed \DL/ Riker Maneuver
I.K.C. Qam-chee *CoC	main	14V_IKCQamChee	V	CoC	14 V	SHIP	Klingon	Vor'cha	8	9	9				[CoC]	(Cmd)(Cmd)(Stf)					Cloaking Device, Tractor Beam. Opposing cards here are attributes -1.
Scimitar *CoC	main	15V_Scimitar	V	CoC	15 V	SHIP	Romulan	Scimitar	9	13	12				[CoC]	(Cmd)(Cmd)(Cmd)					Cloaking Device, Tractor Beam \DL/ Any Tactic \DL/ Engage Cloak
Starship Enterprise *CoC	main	9V_StarshipEnterprise	V	CoC	9 V	SHIP	Federation	Constitution	6	5	6				[AU][CoC]/OS\	/OS\					Tractor Beam \DL/ Where No Man Has Gone Before
U.S.S. Defiant *CoC	main	10V_USSDefiant	V	CoC	10 V	SHIP	Federation	Defiant	8	10	8				[CoC]	(Cmd)(Cmd)					Cannot carry ships aboard except shuttlepods. Cloaking Device, Tractor Beam. WEAPONS and SHIELDS +3 vs. [Borg]
U.S.S. Enterprise *CoC	main	11V_USSEnterprise	V	CoC	11 V	SHIP	Federation	Galaxy	8	7	9				[CoC]	(Cmd)(Stf)(Stf)					Holodeck, Tractor Beam \DL/ Wall of Ships
U.S.S. Enterprise-E *CoC	main	12V_USSEnterprise-E	V	CoC	12 V	SHIP	Federation	Sovereign	10	7	8				[CoC]	/Ent-E\/Ent-E\(Cmd)					WEAPONS and SHIELDS +1 for each /Ent-E\ aboard. Holodeck, Tractor Beam.
U.S.S. Voyager *CoC	main_voy	13V_Voyager	V	CoC	13 V	SHIP	Federation	Intrepid	8	8	8				[CoC]	(Cmd)(Stf)					Shuttlecraft you download may come from discard pile. Holodeck, Tractor Beam
BLENDED *HMF	main	HMF_01V	V	HMF	1 V	DILEMMA	Planet								[HMF]						To get past requires Empathy, Diplomacy, Morn or any Scotty. All such personnel are "stopped," but if two or more present, one must continue (random selection).
CHULA: THE CHANDRA *HMF	main	HMF_02V	V	HMF	2 V	DILEMMA	Space/Planet								[HMF]						One person (random selection) must continue, along with all crew or away team members who have at least one attribute number matching the personnel. Others are stopped.
CHULA: THE LIGHTS *HMF	main	HMF_03V	V	HMF	3 V	DILEMMA	Space/Planet								[HMF]						Crew or Away Team member with total attributes closest to 22 (your choice if tie) returns to hand. To get past requires CUNNING>24 remaining.
DAL'ROK *HMF	main	HMF_04V	V	HMF	4 V	DILEMMA	Space/Planet								[HMF]						Place on mission. Now and start of each turn, kills personnel with lowest total attributes at this location. May be nullified by INTEGRITY+CUNNING+STRENGTH>150 at this location.
DEAD END *HMF	main	HMF_05V	V	HMF	5 V	DILEMMA	Space/Planet								[HMF]						Unless you have at least 50 points, cannot get past; place dilemma atop mission; it may not be attempted by a player with less than 50 points. (Unique.)
Flim-Flam Artist *HMF	main	HMF_06V	V	HMF	6 V	DILEMMA	Planet														Your opponent may immediately draw a card. To get past requires Diplomacy and 2 Computer Skill OR Law and CUNNING>32 (CUNNING>50 if this is a  mission).
FRIENDLY FIRE *HMF	main	HMF_07V	V	HMF	7 V	DILEMMA	Space/Planet								[2][HMF]						Unless 2 Leadership and 2 SECURITY present, kills one personnel (random selection); place dilemma on this mission (or this Empok Nor); it cannot be attempted or scouted. Empok Nor related.
GOD *HMF	main	HMF_08V	V	HMF	8 V	DILEMMA	Planet								[HMF]						Unless two Away Team members each have INTEGRITY>7, place on mission; destroys one ship here (opponent's choice). You must have a ship here to attempt mission.
MAGLOCK *HMF	main	HMF_09V	V	HMF	9 V	DILEMMA	Space								[HMF]						To get past, crew must have at least 3 OFFICER with STRENGTH>5 each.
Murder Investigation *HMF	main_voy	HMF_10V	V	HMF	10 V	DILEMMA	Space/Planet								[HMF]						Randomly select three personnel (or six personnel if more than nine personnel present). If any of those personnel has SECURITY, all of them are "stopped."
NEW ESSENTIALISTS *HMF	main	HMF_11V	V	HMF	11 V	DILEMMA	Planet								[HMF]						Unless INTEGRITY>40 and 2 Honor OR CUNNING>40 and 2 Treachery present, place one non-Borg Away Team member (random selection) atop draw deck. Nullify with Jamaharon.
NOW WOULD BE A GOOD TIME *HMF	main	HMF_12V	V	HMF	12 V	DILEMMA	Planet								[HMF]						Unless Transporter Skill aboard your ship or facility here beams up entire Away Team, one personnel present (opponent's choice) is captured. Discard dilemma.
Picking Up the Pieces *HMF	main	HMF_13V	V	HMF	13 V	DILEMMA	Planet								[HMF]						To get past requires Geology or Computer Skill. All such personnel are "stopped," but if two or more present, one must continue (random selection).
PUNISHMENT BOX *HMF	main	HMF_14V	V	HMF	14 V	DILEMMA	Planet								[HMF]						Place on planet. Now and at start of each mission attempt here, cannot get past unless one OFFICER is "placed in the box" ("stopped") until end of turn.
Q'S VICIOUS ANIMAL THINGS *HMF	main	HMF_15V	V	HMF	15 V	DILEMMA	Planet								[HMF]						Unless 22<STRENGTH<55, one Away Team member is killed (random selection) and opponent re-seeds dilemma under a different unsolved planet mission.
Restricted Area *HMF	main	HMF_16V	V	HMF	16 V	DILEMMA	Space/Planet								[HMF]						If nine or fewer personnel in crew or away team, one is "stopped" (random selection). If more than nine personnel in crew or away team, three are captured (random selection).
SUBSPACE SHOCK WAVE *HMF	main	HMF_17V	V	HMF	17 V	DILEMMA	Space								[HMF]						Ship damaged and two crew members killed (random selection) unless a Navigation personnel who has CUNNING>7 aboard. Discard dilemma.
THE WHALE PROBE *HMF	main	HMF_18V	V	HMF	18 V	DILEMMA	Space								[AU][HMF]						Place on mission. End of every turn, moves one location toward and off spaceline's long end. All ships, personnel, and facilities are in stasis while here. (Unique.)
# Unicomplex *HMF	main_voy	HMF_20V	V	HMF	20 V	FACILITY	BORG	OUTPOST			74				[HMF][DQ]						Seeds or plays at any [S] mission with no affiliation icons. Once each turn, Borg Queen OR one unique drone OR one unique ship may report for free here.
Central Command *HMF	main	HMF_21V	V	HMF	21 V	FACILITY	CARDASSIAN	HEADQUARTERS			44				[HMF]						Seeds or plays on Cardassia Prime. Once per turn, one Cardassian Gul or Legate OR one HQ card may play for free here. (Not duplicatable.)
Chamber of Ministers *HMF	main	HMF_19V	V	HMF	19 V	FACILITY	BAJORAN	HEADQUARTERS			36				[HMF]						Seeds or plays on Bajor. A Nor may coexist here. Once per turn, one Bajoran Minister, Vedek or Kai OR one HQ card may play for free here. (Not duplicatable.)
Continuing Committee *HMF	main	HMF_27V	V	HMF	27 V	FACILITY	ROMULAN	HEADQUARTERS			44				[HMF]						Seeds or plays on Romulus. May coexist with Office of the Proconsul. Once per turn, one Tal Shiar personnel OR any Neral may report for free here. (Not duplicatable.)
Office of The President *HMF	main	HMF_23V	V	HMF	23 V	FACILITY	FEDERATION	HEADQUARTERS			42				[HMF]						Seeds or plays on Earth. Once per turn, one Federation Ambassador, Admiral, Vice-Admiral or President OR one HQ card may play for free here. (Not duplicatable.)
Office of the Proconsul *HMF	main	HMF_28V	V	HMF	28 V	FACILITY	ROMULAN	HEADQUARTERS			44				[HMF]						Seeds or plays on Romulus. Once per turn, one Romulan General, Admiral, Senator or Proconsul OR Sela or Tomalak OR one HQ card may play for free here. (Not duplicatable.)
Terran Rebellion HQ *HMF	main	HMF_24V	V	HMF	24 V	FACILITY	FEDERATION	HEADQUARTERS			54				[TE][HMF](MQ)						Seeds or plays on Terran Hideout; it is now the homeworld of [Fed][TE] cards. Once per turn, one [TE] personnel (except [AU]) OR one HQ card may play for free here. (Not duplicatable.)
The Great Hall *HMF	main	HMF_26V	V	HMF	26 V	FACILITY	KLINGON	HEADQUARTERS			44				[HMF]						Seeds or plays on Qo'noS. Once per turn, one Klingon Emperor, Chancellor or personnel with "High Council" in lore OR one HQ card may play for free here. (Not duplicatable.)
The Great Link *HMF	main	HMF_22V	V	HMF	22 V	FACILITY	DOMINION	HEADQUARTERS			46				[HMF][GQ]						Seeds or plays on Founders' homeworld. Ketracel-White on planet does not count down. Once per turn, one Founder OR one HQ card may play for free here. (Not duplicatable.)
