Name	Set	ImageFile	Rarity	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
Armus: Energy Field	Shades of Gray	1e/cardimages/sog/SoG 1.jpg	V	1 V																 One personnel (random selection) aboard each of your ships here is "stopped." To get past, crew must be able to meet mission requirements (even if playing Borg). 
Armus: Roulette	Shades of Gray	1e/cardimages/sog/SoG 2.jpg	V	2 V																 If four personnel (random selection) have CUNNING>30 OR one of them has Leadership and INTEGRITY>7, discard dilemma. Otherwise, one is killed (opponent's choice) and the other selected personnel are "stopped." Mission continues. 
Helpless	Shades of Gray	1e/cardimages/sog/SoG 3.jpg	V	3 V																 One Away Team member is chosen (random selection). If that personnel does not have a skill in mission requirements, that personnel and one other personnel (random selection) are "stopped" (even if playing Borg). 
High Rollers	Shades of Gray	1e/cardimages/sog/SoG 4.jpg	V	4 V										[AU][2]						 Opponent may download and seed here any two {Royale Casino} dilemmas, then place on mission. Each Royale Casino dilemma you face here first "stops" one Away Team member (your choice). 
Royale Casino: Elevator	Shades of Gray	1e/cardimages/sog/SoG 5.jpg	V	5 V							7			[AU]						 Opponent may report a personnel. Return one of your Away Team members to hand (your choice). Compare those personnel; highest total printed attributes wins points. Discard dilemma. 
Shore Leave	Shades of Gray	1e/cardimages/sog/SoG 6.jpg	V	6 V																 To get past requires a male and a female OR Honor + INTEGRITY>50. Opponent may then download and seed here up to two of the following (except Combo dilemmas): {Female's Love Interest}, {Male's Love Interest}, {Parallel Romance}, or {Wind Dancer}. 
The Arsenal: Divided	Shades of Gray	1e/cardimages/sog/SoG 7.jpg	V	7 V																 Divide your unique crew members into two face-down piles. One pile is "stopped" (opponent's choice). To get past, ship must be staffed and have INTEGRITY>27 remaining. 
The Loss	Shades of Gray	1e/cardimages/sog/SoG 8.jpg	V	8 V																 To get past requires 2 Empathy OR 2 Mindmeld OR 2 androids OR INTEGRITY>38. Opponent may then download and seed here up to two of the following: {Bendii Syndrome}, {Helpless}, {System-Wide Cascade Failure}, or {Two-Dimensional Creatures}. 
The Vengeance Factor	Shades of Gray	1e/cardimages/sog/SoG 9.jpg	V	9 V										[2]						 Opponent may download and seed here up to two of the following (except Combo dilemmas): {Microvirus}, {The Gatherers}, or {Yuta}, then place on mission. Skill and attributes requirements of Microvirus and The Gatherers here are doubled. 
Dyson Sphere Door	Shades of Gray	1e/cardimages/sog/SoG 10.jpg	V	10 V																 Place one atop Dilemma side deck (up to 13 dilemmas) during the seed phase. Dilemma side deck is now open and in play (immune to cards which close doorways). You may seed [AU] dilemmas. Dilemmas you download must come from here (ignoring cards that prevent downloading). When opponent seeds {Empok Nor}, you may download and seed up to three dilemmas related to Empok Nor beneath station from here. 
Emergency Transport Unit	Shades of Gray	1e/cardimages/sog/SoG 11.jpg	V	11 V																 You may return this equipment to hand to prevent a personnel present from being killed by a dilemma (that personnel is placed on your ship here and is "stopped"). 
All-Consuming Evil	Shades of Gray	1e/cardimages/sog/SoG 12.jpg	V	12 V																 Seeds or plays on {Vagra II}. Double effects of all Armus dilemmas. Once per game, may suspend play to download {any Armus} dilemma and seed it beneath any mission, then discard event. (Immune to {Kevin Uxbridge}.) 
D'jarras	Shades of Gray	1e/cardimages/sog/SoG 13.jpg	V	13 V										[2]						 Plays on table. All of your [Baj] OFFICER-classification personnel gain CIVILIAN. All of your [Baj] CIVILIAN-classification personnel gain OFFICER. 
Duck Blind	Shades of Gray	1e/cardimages/sog/SoG 14.jpg	V	14 V																 Seeds or plays on your Alpha Quadrant planet mission (except a homeworld). End of each turn, if your 2 Anthropology present, draw an extra card. (Immune to {Kevin Uxbridge}.) 
Federation Flagship: Renewed	Shades of Gray	1e/cardimages/sog/SoG 15.jpg	V	15 V																 Plays on your [Fed] Enterprise (except [OS]). End of each turn, if ship is undocked, uncloaked, and has its matching commander aboard at a [S] mission, draw an additional card. (Unique.) 
