Name	Set	ImageFile	CardName	Release	Info	Printable	Uniqueness	Type	Cost	Mission/ Dilemma Type	Affil	Class/ Species	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Keywords	Characteristics/ Keywords	Requires	Persona	Command	Reports	Skills	Text
2		1e/cardimages/premiere/haakona.gif	Haakona	Premiere	R	No	Unique				Romulan		8	9	8						[Cmd][Stf]		Tractor Beam, Cloaking Device			Taris			 Cloaking Device, Tractor Beam 
10		1e/cardimages/premiere/hannahbates.gif	Hannah Bates	Premiere	U	No	Unique				Federation		6	8	2								Mission Specialist		Hannah Bates				SCIENCE Physics  
25		1e/cardimages/premiere/typevishuttlecraft.gif	Type VI Shuttlecraft	Premiere	C	No	Unique				Federation		6	2	2								Shuttlecraft						  
27		1e/cardimages/premiere/ussexcelsior.gif	U.S.S. Excelsior	Premiere	C	No	Unique				Federation		6	6	7						[Stf]		Tractor Beam						 Tractor Beam 
28		1e/cardimages/premiere/ussgalaxy.gif	U.S.S. Galaxy	Premiere	C	No	Unique				Federation		8	7	9						[Cmd][Stf]		Tractor Beam, Holodeck						 Holodeck, Tractor Beam 
30		1e/cardimages/premiere/ussmiranda.gif	U.S.S. Miranda	Premiere	C	No	Unique				Federation		6	5	5						[Stf]		Tractor Beam						 Tractor Beam 
31		1e/cardimages/premiere/ussnebula.gif	U.S.S. Nebula	Premiere	C	No	Unique				Federation		8	7	8						[Cmd][Stf]		Tractor Beam, Holodeck						 Holodeck, Tractor Beam 
32		1e/cardimages/errata/USS-Oberth.jpg	U.S.S. Oberth	Premiere	C	No	Unique				Federation		6	4	7						[Stf]		Tractor Beam						 Tractor Beam 
36		1e/cardimages/premiere/varel.gif	Varel	Premiere	C	No	Unique				Romulan		4	7	5					[Stf]					Varel				SCIENCE Physics Computer Skill Youth  
39		1e/cardimages/premiere/vekma.gif	Vekma	Premiere	C	No	Unique				Klingon		6	5	6					[Stf]			Mission Specialist		Vekma				MEDICAL Honor  
44		1e/cardimages/premiere/alberteinstein.gif	Albert Einstein	Premiere	R	No	Unique				Federation		9	11	2					[Holo]			Support Personnel		Albert Einstein				SCIENCE Physics Astrophysics  
70		1e/cardimages/premiere/batrell.gif	Batrell	Premiere	C	No	Unique				Klingon		7	3	7					[Cmd]			Mission Specialist		Batrell				OFFICER Honor  
72		1e/cardimages/premiere/bijik.gif	B'iJik	Premiere	C	No	Unique				Klingon		4	6	6					[Stf]			Mission Specialist		B'iJik				OFFICER Navigation  
85		1e/cardimages/premiere/calloway.gif	Calloway	Premiere	C	No	Unique				Federation		7	5	3								Mission Specialist		Calloway				MEDICAL Youth  
92		1e/cardimages/premiere/christopherhobson.gif	Christopher Hobson	Premiere	C	No	Unique				Federation		6	7	6					[Cmd]			Mission Specialist		Christopher Hobson				OFFICER Computer Skill  
96		1e/cardimages/premiere/combatvessel.gif	Combat Vessel	Premiere	C	No	Unique				Non-Aligned		8	8	6						[Stf]								  
107		1e/cardimages/premiere/darianwallace.gif	Darian Wallace	Premiere	C	No	Unique				Federation		7	5	6								Mission Specialist		Darian Wallace				SECURITY Anthropology  
112		1e/cardimages/premiere/dderidex.gif	D'deridex	Premiere	C	No	Unique				Romulan		8	9	7						[Cmd][Stf]		Tractor Beam, Cloaking Device						 Cloaking Device, Tractor Beam 
116		1e/cardimages/premiere/divok.gif	Divok	Premiere	C	No	Unique				Klingon		6	6	8					[Stf]			Support Personnel		Divok				MEDICAL Biology Youth  
125		1e/cardimages/premiere/drfarek.gif	Dr. Farek	Premiere	C	No	Unique				Non-Aligned		2	8	3					[Cmd]			Mission Specialist		Dr. Farek				MEDICAL Greed  
127		1e/cardimages/premiere/drleahbrahms.gif	Dr. Leah Brahms	Premiere	R	No	Unique				Federation		7	9	2					[Holo]			Mission Specialist		Dr. Leah Brahms				ENGINEER ENGINEER  
131		1e/cardimages/premiere/dukath.gif	Dukath	Premiere	C	No	Unique				Klingon		5	6	7					[Stf]			Mission Specialist		Dukath				SCIENCE Archaeology  
151		1e/cardimages/premiere/exocomp.gif	Exocomp	Premiere	U	No	Unique				Federation		9	8	1										Exocomp				ENGINEER If aboard ship, can repair damage in two of your full turns.  
153		1e/cardimages/premiere/feklhr.gif	Fek'lhr	Premiere	U	No	Unique				Klingon		6	1	15					[Holo]			Support Personnel		Fek'lhr				V.I.P. Honor Treachery  
161		1e/cardimages/premiere/galathon.gif	Galathon	Premiere	C	No	Unique				Romulan		3	7	9					[Cmd]					Galathon				OFFICER Archaeology Greed Treachery  
170		1e/cardimages/errata/Giusti.jpg	Giusti	Premiere	C	No	Unique				Federation		7	6	4					[Stf]			Mission Specialist		Giusti				OFFICER Youth  
171		1e/cardimages/premiere/gorath.gif	Gorath	Premiere	C	No	Unique				Klingon		6	4	7					[Stf]			High Council, Mission Specialist		Gorath				SECURITY Honor  
173		1e/cardimages/premiere/gorta.gif	Gorta	Premiere	C	No	Unique				Non-Aligned		3	7	4								Support Personnel		Gorta				ENGINEER Physics Greed  
189		1e/cardimages/premiere/husnockship.gif	Husnock Ship	Premiere	U	No	Unique				Non-Aligned		6	9	12						[Cmd][Stf]		Tractor Beam, Holodeck						 Holodeck, Tractor Beam 
191		1e/cardimages/premiere/ikckvort.gif	I.K.C. K'Vort	Premiere	C	No	Unique				Klingon		8	6	6						[Stf]		Tractor Beam, Cloaking Device, Bird-of-Prey						 Cloaking Device, Tractor Beam 
192		1e/cardimages/premiere/ikcvorcha.gif	I.K.C. Vor'Cha	Premiere	C	No	Unique				Klingon		9	8	7						[Cmd][Stf]		Tractor Beam, Cloaking Device						 Cloaking Device, Tractor Beam 
202		1e/cardimages/premiere/jaron.gif	Jaron	Premiere	C	No	Unique				Romulan		4	7	9					[Stf]			Support Personnel		Jaron				SECURITY Geology Youth  
205		1e/cardimages/premiere/jddan.gif	J'Ddan	Premiere	C	No	Unique				Klingon		2	6	6					[Stf]			Support Personnel		J'Ddan				SCIENCE Exobiology Treachery  
210		1e/cardimages/premiere/jera.gif	Jera	Premiere	C	No	Unique				Romulan		4	7	6					[Holo]			Support Personnel		Jera				MEDICAL Biology Youth  
232		1e/cardimages/premiere/klag.gif	Klag	Premiere	C	No	Unique				Klingon		6	5	7					[Cmd]			Mission Specialist		Klag				OFFICER Navigation  
233		1e/cardimages/premiere/kleeg.gif	Kle'eg	Premiere	C	No	Unique				Klingon		6	4	7					[Stf]			Mission Specialist		Kle'eg				SECURITY Honor  
240		1e/cardimages/premiere/kromm.gif	Kromm	Premiere	C	No	Unique				Klingon		5	6	8					[Stf]			Mission Specialist		Kromm				ENGINEER Physics  
243		1e/cardimages/premiere/ktesh.gif	K'Tesh	Premiere	C	No	Unique				Klingon		5	5	6					[Holo]			Mission Specialist		K'Tesh				ENGINEER Stellar Cartography  
