Name	Set	ImageFile	Rarity	Release	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
Vedek Dax	main	vedekdax	P	2A	P	PERSONNEL	BAJORAN	SCIENCE	7	9	7				[Orb][P]	(STF)	Trill with Symbiont	Jadzia Dax		Chamber of Ministers	SCIENCE * ENGINEER  * Anthropology  * Physics  * Navigation  * Exobiology
Legate Damar	main	legatedamar	P	2A	P	PERSONNEL	CARDASSIAN	V.I.P.	9	7	7				[P]	(CMD)	Cardassian	Damar		Central Command	V.I.P. * Leadership  x2 * Computer  Skill * Honor  * SECURITY  * Physics  \DL/ For Cardassia!
Bashir Founder	main	bashirfounder	P	2A	P	PERSONNEL	DOMINION	MEDICAL	4	11	5				[P][GQ]	(STF)	Changeling	(Julian Bashir)		The Great Link	MEDICAL * MEDICAL  * Exobiology  * Biology  * Treachery  \DL/ Supernova  (Tox Uthat not required; opponent must have total usable WEAPONS>36 at this location).
Luther Sloan	main	luthersloan	P	2A	P	PERSONNEL	FEDERATION	SECURITY	3	9	7				[P]	(CMD)	Human				SECURITY * Section  31 x2 * SECURITY  * Treachery  * Honor  * Computer  Skill * May  report anywhere.
Koval	main	koval	P	2A	P	PERSONNEL	FEDERATION/ROMULAN	V.I.P.	3	9	6				[P]	(CMD)	Romulan			Continuing Committee	V.I.P. * SECURITY  * Treachery  * Tal  Shiar x2 (if Romulan) * Exobiology * Your  Tal Shiar may report here.
Jodmos	main	jodmos	P	2A	P	PERSONNEL	KLINGON	OFFICER	8	8	8				[P]	(CMD)	Human	Benjamin Sisko			OFFICER * ENGINEER  * Navigation  * Honor * May  stun adversary without Honor just engaged.
DATA LAUGHING	main	datalaughing	P	2PG	P	INTERRUPT															Nullifies Calamarain OR doubles Data's Head this turn OR retakes one ship controlled by Lore Returns so that Lore and Rogue Borg now follow your direction.
GRAVESWORLD	main	gravesworld	P	2PG	P	MISSION	Planet,[FEDERATION]					30	Gravesworld	5	(AQ)						MEDICAL + OFFICER + Physics
HOMEWARD	main	homeward	F	2PG	F	MISSION	Planet,[FEDERATION]					25	Boral II	3	(AQ)						Anthropology + Computer Skill
SURVEY INSTABILITY	main	surveyinstability	F	2PG	F	MISSION	Planet,[FEDERATION]					25	Selcundi Drema Sector	3	(AQ)						Geology + STRENGTH>35
AVERT DANGER	main	avertdanger	P	2PG	P	MISSION	Planet,[FEDERATION][KLINGON]					30	Moab IV	4	(AQ)						Stellar Cartography + CUNNING>35 OR Astrophysics + CUNNING>35
DISTRESS MISSION	main	distressmission	P	2PG	P	MISSION	Planet,[FEDERATION][KLINGON]					35	Ligos VII	3	(AQ)						Youth x 3 + CUNNING>32 OR Honor x 3 + STRENGTH>36
